Epoch	Train Loss	Train Acc	Val Loss	Val Acc	lr
213	0.2296	0.9156	0.2865	0.9071	0.000086
214	0.2338	0.9158	0.2714	0.9124	0.000082
215	0.2262	0.9156	0.2856	0.9035	0.000079
216	0.2232	0.9178	0.2767	0.9088	0.000075
217	0.2123	0.9216	0.2868	0.9000	0.000072
218	0.2356	0.9171	0.2707	0.9142	0.000069
219	0.2353	0.9140	0.2810	0.9027	0.000066
220	0.2339	0.9140	0.2803	0.9000	0.000063
221	0.2145	0.9214	0.2782	0.9133	0.000060
222	0.2246	0.9165	0.2799	0.9080	0.000057
223	0.2141	0.9207	0.2800	0.9071	0.000054
224	0.2319	0.9133	0.2822	0.9062	0.000051
225	0.2123	0.9226	0.2896	0.9088	0.000049
226	0.2133	0.9211	0.2812	0.9062	0.000046
227	0.2298	0.9161	0.2921	0.8956	0.000043
228	0.2166	0.9209	0.2856	0.9044	0.000041
229	0.2156	0.9254	0.2810	0.9080	0.000038
230	0.2164	0.9171	0.2746	0.9115	0.000036
231	0.2192	0.9218	0.2774	0.9106	0.000034
232	0.2146	0.9212	0.2699	0.9142	0.000032
233	0.2124	0.9248	0.2690	0.9124	0.000029
234	0.2182	0.9182	0.2792	0.9053	0.000027
235	0.2182	0.9193	0.2607	0.9168	0.000025
236	0.2146	0.9201	0.2796	0.9080	0.000024
237	0.2207	0.9205	0.2892	0.9018	0.000022
238	0.2195	0.9197	0.2765	0.9097	0.000020
239	0.2283	0.9137	0.2826	0.9133	0.000018
240	0.2193	0.9212	0.2751	0.9080	0.000017
241	0.2098	0.9252	0.2760	0.9115	0.000015
242	0.2165	0.9218	0.2871	0.9080	0.000014
243	0.2254	0.9163	0.2738	0.9186	0.000012
244	0.2044	0.9269	0.2714	0.9097	0.000011
245	0.2244	0.9156	0.2776	0.9097	0.000010
246	0.2236	0.9180	0.2724	0.9115	0.000009
247	0.2199	0.9167	0.2639	0.9186	0.000008
248	0.2154	0.9188	0.2783	0.9062	0.000007
249	0.2155	0.9178	0.2764	0.9106	0.000006
250	0.2136	0.9226	0.2891	0.9062	0.000005
251	0.2312	0.9135	0.2799	0.9097	0.000004
252	0.2261	0.9180	0.2739	0.9106	0.000004
253	0.2069	0.9235	0.2802	0.9035	0.000003
254	0.2138	0.9220	0.2886	0.9044	0.000002
255	0.2247	0.9184	0.2745	0.9097	0.000002
256	0.2343	0.9154	0.2694	0.9133	0.000002
257	0.2160	0.9212	0.3023	0.8973	0.000001
258	0.2134	0.9188	0.2781	0.9062	0.000001
259	0.2039	0.9243	0.2808	0.9115	0.000001
260	0.2117	0.9205	0.2890	0.9088	0.000001
